region;provincia;localidad
Norte;Corrientes;Concepcion
Norte;Corrientes;Curuzu Cuatia
Norte;Corrientes;Empedrado
Norte;Corrientes;Esquina
Norte;Corrientes;General Alvear
Norte;Corrientes;General Paz
Norte;Corrientes;Goya
Norte;Corrientes;Itati
Norte;Corrientes;Ituzaingo
Norte;Corrientes;Lavalle
Norte;Corrientes;Mburucuya
Norte;Corrientes;Mercedes
Norte;Corrientes;Monte Caseros
Norte;Corrientes;Paso de los Libres
Norte;Corrientes;Saladas
Norte;Corrientes;San Cosme
Norte;Corrientes;San Luis del Palmar
Norte;Corrientes;San Martin
Norte;Corrientes;San Miguel
Norte;Corrientes;San Roque
Norte;Corrientes;Santo Tome
Norte;Corrientes;Sauce
Centro;Entre Rios;Colon
Centro;Entre Rios;Concordia
Centro;Entre Rios;Diamante
Centro;Entre Rios;Federacion
Centro;Entre Rios;Federal
Centro;Entre Rios;Feliciano
Centro;Entre Rios;Gualeguay
Centro;Entre Rios;Gualeguaychu
Centro;Entre Rios;Islas del Ibicuy
Centro;Entre Rios;La Paz
Centro;Entre Rios;Nogoya
Centro;Entre Rios;Parana
Centro;Entre Rios;San Salvador
Centro;Entre Rios;Tala
Centro;Entre Rios;Uruguay
Centro;Entre Rios;Victoria
Centro;Entre Rios;Villaguay
Norte;Formosa;Bermejo
Norte;Formosa;Formosa
Norte;Formosa;Laishi
Norte;Formosa;Matacos
Norte;Formosa;Patino
Norte;Formosa;Pilagas
Norte;Formosa;Pilcomayo
Norte;Formosa;Pirane
Norte;Formosa;Ramon Lista
Norte;Jujuy;Cochinoca
Norte;Jujuy;Dr. Manuel Belgrano
Norte;Jujuy;El Carmen
Norte;Jujuy;Humahuaca
Norte;Jujuy;Ledesma
Norte;Jujuy;Palpala
Norte;Jujuy;Rinconada
Norte;Jujuy;San Antonio
Norte;Jujuy;San Pedro
Norte;Jujuy;Santa Barbara
Norte;Jujuy;Santa Catalina
Norte;Jujuy;Susques
Norte;Jujuy;Tilcara
Norte;Jujuy;Tumbaya
Norte;Jujuy;Valle Grande
Norte;Jujuy;Yavi
Centro;La Pampa;Atreuco
Centro;La Pampa;Caleu Caleu
Centro;La Pampa;Capital
Centro;La Pampa;Catrilo
Centro;La Pampa;Chalileo
Centro;La Pampa;Chapaleufu
Centro;La Pampa;Chical Co
Centro;La Pampa;Conhelo
Centro;La Pampa;Curaco
Centro;La Pampa;Guatrache
Centro;La Pampa;Hucal
Centro;La Pampa;Lihuel Calel
Centro;La Pampa;Limay Mahuida
Centro;La Pampa;Loventue
Centro;La Pampa;Maraco
Centro;La Pampa;Puelen
Centro;La Pampa;Quemu Quemu
Centro;La Pampa;Rancul
Centro;La Pampa;Realico
Centro;La Pampa;Toay
Centro;La Pampa;Trenel
Centro;La Pampa;Utracan
Norte;La Rioja;Arauco
Norte;La Rioja;Capital
Norte;La Rioja;Castro Barros
Norte;La Rioja;Chamical
Norte;La Rioja;Chilecito
Norte;La Rioja;Coronel Felipe Varela
Norte;La Rioja;Famatina
Norte;La Rioja;General angel V. Penaloza
Norte;La Rioja;General Belgrano
Norte;La Rioja;General Juan F. Quiroga
Norte;La Rioja;General Lamadrid
Norte;La Rioja;General Ocampo
Norte;La Rioja;General San Martin
Norte;La Rioja;Independencia
Norte;La Rioja;Rosario Vera Penaloza
Norte;La Rioja;San Blas de Los Sauces
Norte;La Rioja;Sanagasta
Norte;La Rioja;Vinchina
Centro;Mendoza;Capital
Centro;Mendoza;General Alvear
Centro;Mendoza;Godoy Cruz
Centro;Mendoza;Guaymallen
Centro;Mendoza;Junin
Centro;Mendoza;La Paz
Centro;Mendoza;Las Heras
Centro;Mendoza;Lavalle
Centro;Mendoza;Lujan de Cuyo
Centro;Mendoza;Maipu
Centro;Mendoza;Malargüe
Centro;Mendoza;Rivadavia
Centro;Mendoza;San Carlos
Centro;Mendoza;San Martin
Centro;Mendoza;San Rafael
Centro;Mendoza;Santa Rosa
Centro;Mendoza;Tunuyan
Centro;Mendoza;Tupungato
Norte;Misiones;25 de mayo
Norte;Misiones;Apostoles
Norte;Misiones;Cainguas
Norte;Misiones;Candelaria
Norte;Misiones;Capital
Norte;Misiones;Concepcion
Norte;Misiones;Eldorado
Norte;Misiones;General Manuel Belgrano
Norte;Misiones;Guarani
Norte;Misiones;Iguazu
Norte;Misiones;Leandro N. Alem
Norte;Misiones;Libertador General San Martin
Norte;Misiones;Montecarlo
Norte;Misiones;Obera
Norte;Misiones;San Ignacio
Norte;Misiones;San Javier
Norte;Misiones;San Pedro
Sur;Neuquen;Alumine
Sur;Neuquen;Anelo
Sur;Neuquen;Catan Lil
Sur;Neuquen;Chos Malal
Sur;Neuquen;Collon Cura
Sur;Neuquen;Confluencia
Sur;Neuquen;Huiliches
Sur;Neuquen;Lacar
Sur;Neuquen;Loncopue
Sur;Neuquen;Los Lagos
Sur;Neuquen;Minas
Sur;Neuquen;norquin
Sur;Neuquen;Pehuenches
Sur;Neuquen;Picun Leufu
Sur;Neuquen;Picunches
Sur;Neuquen;Zapala
Sur;Rio Negro;25 de mayo
Sur;Rio Negro;9 de julio
Sur;Rio Negro;Adolfo Alsina
Sur;Rio Negro;Avellaneda
Sur;Rio Negro;Bariloche
Sur;Rio Negro;Conesa
Sur;Rio Negro;El Cuy
Sur;Rio Negro;General Roca
Sur;Rio Negro;norquinco
Sur;Rio Negro;Pichi Mahuida
Sur;Rio Negro;Pilcaniyeu
Sur;Rio Negro;San Antonio
Sur;Rio Negro;Valcheta
Norte;Salta;Anta
Norte;Salta;Cachi
Norte;Salta;Cafayate
Norte;Salta;Capital
Norte;Salta;Cerrillos
Norte;Salta;Chicoana
Norte;Salta;General Güemes
Norte;Salta;General Jose de San Martin
Norte;Salta;Guachipas
Norte;Salta;Iruya
Norte;Salta;La Caldera
Norte;Salta;La Candelaria
Norte;Salta;La Poma
Norte;Salta;La Vina
Norte;Salta;Los Andes
Norte;Salta;Metan
Norte;Salta;Molinos
Norte;Salta;Oran
Norte;Salta;Rivadavia
Norte;Salta;Rosario de la Frontera
Norte;Salta;Rosario de Lerma
Norte;Salta;San Carlos
Norte;Salta;Santa Victoria
Norte;San Juan;25 de mayo
Norte;San Juan;9 de julio
Norte;San Juan;Albardon
Norte;San Juan;Angaco
Norte;San Juan;Calingasta
Norte;San Juan;Capital
Norte;San Juan;Caucete
Norte;San Juan;Chimbas
Norte;San Juan;Iglesia
Norte;San Juan;Jachal
Norte;San Juan;Pocito
Norte;San Juan;Rawson
Norte;San Juan;Rivadavia
Norte;San Juan;San Martin
Norte;San Juan;Santa Lucia
Norte;San Juan;Sarmiento
Norte;San Juan;Ullum
Norte;San Juan;Valle Fertil
Norte;San Juan;Zonda
Centro;San Luis;Ayacucho
Centro;San Luis;Belgrano
Centro;San Luis;Chacabuco
Centro;San Luis;Coronel Pringles
Centro;San Luis;General Pedernera
Centro;San Luis;Gobernador Dupuy
Centro;San Luis;Juan Martin de Pueyrredon
Centro;San Luis;Junin
Centro;San Luis;Libertador General San Martin
Sur;Santa Cruz;Corpen Aike
Sur;Santa Cruz;Deseado
Sur;Santa Cruz;Güer Aike
Sur;Santa Cruz;Lago Argentino
Sur;Santa Cruz;Lago Buenos Aires
Sur;Santa Cruz;Magallanes
Sur;Santa Cruz;Rio Chico
Centro;Santa Fe;9 de julio
Centro;Santa Fe;Caseros
Centro;Santa Fe;Castellanos
Centro;Santa Fe;Garay
Centro;Santa Fe;General Lopez
Centro;Santa Fe;General Obligado
Centro;Santa Fe;Iriondo
Centro;Santa Fe;La Capital
Centro;Santa Fe;Las Colonias
Centro;Santa Fe;Rosario
Centro;Santa Fe;San Cristobal
Centro;Santa Fe;San Javier
Centro;Santa Fe;San Jeronimo
Centro;Santa Fe;San Justo
Centro;Santa Fe;San Lorenzo
Centro;Santa Fe;San Martin
Centro;Santa Fe;Vera
Centro;Santa Fe;Villa Constitucion
Norte;Santiago del Estero;Aguirre
Norte;Santiago del Estero;Alberdi
Norte;Santiago del Estero;Atamisqui
Norte;Santiago del Estero;Avellaneda
Norte;Santiago del Estero;Banda
Norte;Santiago del Estero;Belgrano
Norte;Santiago del Estero;Capital
Norte;Santiago del Estero;Choya
Norte;Santiago del Estero;Copo
Norte;Santiago del Estero;Figueroa
Norte;Santiago del Estero;General Taboada
Norte;Santiago del Estero;Guasayan
Norte;Santiago del Estero;Jimenez
Norte;Santiago del Estero;Juan F. Ibarra
Norte;Santiago del Estero;Loreto
Norte;Santiago del Estero;Mitre
Norte;Santiago del Estero;Moreno
Norte;Santiago del Estero;Ojo de Agua
Norte;Santiago del Estero;Pellegrini
Norte;Santiago del Estero;Quebrachos
Norte;Santiago del Estero;Rio Hondo
Norte;Santiago del Estero;Rivadavia
Norte;Santiago del Estero;Robles
Norte;Santiago del Estero;Salavina
Norte;Santiago del Estero;San Martin
Norte;Santiago del Estero;Sarmiento
Norte;Santiago del Estero;Silipica
Sur;Tierra del Fuego;Tierra del Fuego
Norte;Tucuman;Burruyacu
Norte;Tucuman;Capital
Norte;Tucuman;Chicligasta
Norte;Tucuman;Cruz Alta
Norte;Tucuman;Famailla
Norte;Tucuman;Graneros
Norte;Tucuman;Juan Bautista Alberdi
Norte;Tucuman;La Cocha
Norte;Tucuman;Leales
Norte;Tucuman;Lules
Norte;Tucuman;Monteros
Norte;Tucuman;Rio Chico
Norte;Tucuman;Simoca
Norte;Tucuman;Tafi del Valle
Norte;Tucuman;Tafi Viejo
Norte;Tucuman;Trancas
Norte;Tucuman;Yerba Buena
