region;provincia;localidad;calle;altura
Norte;Salta;La Poma;AV 20 DE NOVIEMBRE;1137
Centro;Cordoba;Colon;AV 20 DE NOVIEMBRE;1225
Norte;Chaco;Libertador General San Martin;AV 20 DE NOVIEMBRE;1225
Norte;San Juan;San Martin;AV 20 DE NOVIEMBRE;1225
Centro;Cordoba;Totoral;AV 20 DE NOVIEMBRE;1320
Centro;Entre Rios;Nogoya;AV 20 DE NOVIEMBRE;1320
Norte;San Juan;Albardon;AV 20 DE NOVIEMBRE;1320
Centro;Cordoba;General San Martin;AV 20 DE NOVIEMBRE;1371
Centro;San Luis;Junin;AV 20 DE NOVIEMBRE;1371
Centro;Entre Rios;Gualeguay;AV 20 DE NOVIEMBRE;1518
Norte;Catamarca;La Paz;AV 20 DE NOVIEMBRE;1518
Norte;Chaco;1° de Mayo;AV 20 DE NOVIEMBRE;1540
Norte;Misiones;Montecarlo;AV 20 DE NOVIEMBRE;1540
Sur;Tierra del Fuego;Tierra del Fuego;AV 20 DE NOVIEMBRE;1540
Metropolitana;Buenos Aires;Junin;AV 20 DE NOVIEMBRE;822
Norte;La Rioja;General San Martin;AV 20 DE NOVIEMBRE;822
Centro;Cordoba;Ischilin;AV 20 DE NOVIEMBRE;1022
Metropolitana;Buenos Aires;General Las Heras;AV 20 DE NOVIEMBRE;1022
Metropolitana;Buenos Aires;25 de mayo;AV 20 DE NOVIEMBRE;1024
Centro;Cordoba;Colon;AV 20 DE NOVIEMBRE;1041
Centro;La Pampa;Lihuel Calel;AV 20 DE NOVIEMBRE;1041
Norte;Corrientes;San Martin;AV 20 DE NOVIEMBRE;1041
Centro;Entre Rios;Diamante;AV 20 DE NOVIEMBRE;1636
Metropolitana;Buenos Aires;Marcos Paz;AV 20 DE NOVIEMBRE;1636
Norte;San Juan;Sarmiento;AV 20 DE NOVIEMBRE;1636
Centro;Cordoba;Union;AV 20 DE NOVIEMBRE;1896
Metropolitana;Buenos Aires;Patagones;AV 20 DE NOVIEMBRE;1896
Norte;Catamarca;Antofagasta de la Sierra;AV 20 DE NOVIEMBRE;1896
Centro;Santa Fe;General Obligado;AV 20 DE NOVIEMBRE;2244
Norte;Corrientes;Ituzaingo;AV 20 DE NOVIEMBRE;2244
Metropolitana;Buenos Aires;Saavedra;AV 20 DE NOVIEMBRE;50221
Norte;Santiago del Estero;Capital;AV 20 DE NOVIEMBRE;50221
Metropolitana;Buenos Aires;Coronel Pringles;AV 20 DE NOVIEMBRE;772
Norte;Jujuy;Santa Catalina;AV 20 DE NOVIEMBRE;772
Sur;Santa Cruz;Magallanes;AV 20 DE NOVIEMBRE;772
Norte;Misiones;25 de mayo;AV 20 DE NOVIEMBRE;859-B
Norte;Salta;Metan;AV 20 DE NOVIEMBRE;859-B
Norte;Tucuman;Tafi Viejo;AV 20 DE NOVIEMBRE;859-B
Centro;Cordoba;Pocho;AV 20 DE NOVIEMBRE 795
Metropolitana;Buenos Aires;Baradero;AV 20 DE NOVIEMBRE 795
Norte;Tucuman;Yerba Buena;AV 20 DE NOVIEMBRE 795
Centro;Mendoza;Lavalle;AV 20 DE NOVIEMBRE 813
Centro;Santa Fe;San Jeronimo;AV 20 DE NOVIEMBRE 813
Norte;La Rioja;Chilecito;AV 20 DE NOVIEMBRE 813
Metropolitana;Buenos Aires;Olavarria;AV 20 DE NOVIEMBRE;579
Metropolitana;Buenos Aires;Tres Lomas;AV 20 DE NOVIEMBRE;67997
Sur;Neuquen;Alumine;AV 20 DE NOVIEMBRE. 1348
Centro;Entre Rios;Federal;AV 20 DE NOVIEMBRE;267
Norte;La Rioja;Famatina;AV 20 DE NOVIEMBRE;2667
Metropolitana;Buenos Aires;Chascomus;AV 20 DE NOVIEMBRE;5798
Metropolitana;Buenos Aires;Laprida;AV 20 DE NOVIEMBRE;5798
Norte;Misiones;San Ignacio;AV 20 DE NOVIEMBRE;5798
Norte;La Rioja;Famatina;AV 20 DE NOVIEMBRE;3897
Centro;La Pampa;Atreuco;AV 20 DE NOVIEMBRE;1020
Norte;Catamarca;Valle Viejo;AV 20 DE NOVIEMBRE;1020
Norte;Santiago del Estero;Pellegrini;AV 20 DE NOVIEMBRE;1020
Centro;Cordoba;Calamuchita;AV 20 DE NOVIEMBRE;1027
Centro;Cordoba;Rio Primero;AV 20 DE NOVIEMBRE;1027
Norte;La Rioja;Rosario Vera Penaloza;AV 20 DE NOVIEMBRE;1037
Norte;La Rioja;Rosario Vera Penaloza;AV 20 DE NOVIEMBRE;1037
Norte;Misiones;Capital;AV 20 DE NOVIEMBRE;1037
Norte;Salta;Capital;AV 20 DE NOVIEMBRE;1037
Norte;Misiones;25 de mayo;AV 20 DE NOVIEMBRE;1060
Metropolitana;Buenos Aires;Carmen de Areco;AV 20 DE NOVIEMBRE;1070
Metropolitana;Buenos Aires;Salto;AV 20 DE NOVIEMBRE;1070
Metropolitana;Buenos Aires;Bragado;AV 20 DE NOVIEMBRE;1081
Sur;Chubut;Rawson;AV 20 DE NOVIEMBRE;1081
Centro;Cordoba;Rio Cuarto;AV 20 DE NOVIEMBRE;1105
Norte;Misiones;Cainguas;AV 20 DE NOVIEMBRE;1105
Metropolitana;Buenos Aires;Berisso;AV 20 DE NOVIEMBRE;1121
Metropolitana;Buenos Aires;Quilmes;AV 20 DE NOVIEMBRE;1121
Metropolitana;Buenos Aires;Saavedra;AV 20 DE NOVIEMBRE;1139-B
Norte;San Juan;Capital;AV 20 DE NOVIEMBRE;1139-B
Metropolitana;Buenos Aires;Adolfo Gonzales Chaves;AV 20 DE NOVIEMBRE;1178
Metropolitana;Buenos Aires;Navarro;AV 20 DE NOVIEMBRE;1178
Metropolitana;Buenos Aires;Tordillo;AV 20 DE NOVIEMBRE;1178
Norte;Jujuy;Humahuaca;AV 20 DE NOVIEMBRE;1210
Norte;Salta;General Güemes;AV 20 DE NOVIEMBRE;1210
Centro;Entre Rios;Parana;AV 20 DE NOVIEMBRE;1291
Centro;Mendoza;Tupungato;AV 20 DE NOVIEMBRE;1291
Norte;San Juan;Angaco;AV 20 DE NOVIEMBRE;1291
Centro;La Pampa;Hucal;AV 20 DE NOVIEMBRE;1371
Norte;Chaco;General Belgrano;AV 20 DE NOVIEMBRE;1371
Metropolitana;Buenos Aires;Lobos;AV 20 DE NOVIEMBRE;1950
Metropolitana;Buenos Aires;San Pedro;AV 20 DE NOVIEMBRE;1950
Norte;Misiones;Concepcion;AV 20 DE NOVIEMBRE;1950
Centro;Mendoza;Lavalle;AV 20 DE NOVIEMBRE;1960
Norte;La Rioja;Chilecito;AV 20 DE NOVIEMBRE;1960
Norte;Misiones;San Javier;AV 20 DE NOVIEMBRE;1960
Centro;Santa Fe;Castellanos;AV 20 DE NOVIEMBRE;933
Metropolitana;Buenos Aires;San Andres de Giles;AV 20 DE NOVIEMBRE;933
Norte;Corrientes;Paso de los Libres;AV 20 DE NOVIEMBRE;963
Norte;Salta;Anta;AV 20 DE NOVIEMBRE;963
Norte;San Juan;Ullum;AV 20 DE NOVIEMBRE;963
Centro;Cordoba;San Alberto;AV 20 DE NOVIEMBRE;964
Centro;Santa Fe;Castellanos;AV 20 DE NOVIEMBRE;964
Centro;La Pampa;Rancul;AV 20 DE NOVIEMBRE;970-B
Norte;Corrientes;Beron de Astrada;AV 20 DE NOVIEMBRE;970-B
Metropolitana;Buenos Aires;Olavarria;AV 5;1186-A
Metropolitana;Buenos Aires;Tres de Febrero;AV 5;1186-A
Norte;Chaco;Almirante Brown;AV 5;1186-A
Metropolitana;Buenos Aires;Exaltacion de la Cruz;AV 5 DE MAYO;1014
Centro;Cordoba;Tercero Arriba;AV 5 DE MAYO;1100-A
Norte;Chaco;12 de octubre;AV 5 DE MAYO;1100-A
Norte;Misiones;Montecarlo;AV 5 DE MAYO;1100-A
Metropolitana;Buenos Aires;Loberia;AV 5 DE MAYO;1189
Metropolitana;Buenos Aires;San Nicolas;AV 5 DE MAYO;1189
Norte;Misiones;Concepcion;AV 5 DE MAYO;1189
Centro;Mendoza;La Paz;AV 5 DE MAYO;1219
Norte;Tucuman;Graneros;AV 5 DE MAYO;1219
Norte;Chaco;1° de Mayo;AV 5 DE MAYO;1253
Norte;Tucuman;Monteros;AV 5 DE MAYO;1253
Sur;Tierra del Fuego;Tierra del Fuego;AV 5 DE MAYO;1253
Metropolitana;Buenos Aires;Junin;AV 5 DE MAYO;1721
Norte;La Rioja;General San Martin;AV 5 DE MAYO;1721
Metropolitana;Buenos Aires;Exaltacion de la Cruz;AV 5 DE MAYO;1850
Metropolitana;Buenos Aires;Florencio Varela;AV 5 DE MAYO;1911
Metropolitana;Buenos Aires;General Alvear;AV 5 DE MAYO;954
Norte;Santiago del Estero;Guasayan;AV 5 DE MAYO;954
Centro;Cordoba;Rio Segundo;AV 5 DE MAYO;1380
Metropolitana;Buenos Aires;Campana;AV 5 DE MAYO;1380
Norte;Corrientes;Capital;AV 5 DE MAYO;1544
Norte;Salta;Rosario de Lerma;AV 5 DE MAYO;1544
Norte;La Rioja;General Lamadrid;AV 5 DE MAYO;1987
Norte;Salta;Iruya;AV 5 DE MAYO;1987
Sur;Chubut;Gaiman;AV 5 DE MAYO;801
Centro;Entre Rios;Diamante;AV 5 DE MAYO 1281
Metropolitana;Buenos Aires;Marcos Paz;AV 5 DE MAYO 1281
Norte;Santiago del Estero;Sarmiento;AV 5 DE MAYO 1281
Metropolitana;Buenos Aires;Roque Perez;AV 5 DE MAYO 1634
Norte;Salta;Capital;AV 5 DE MAYO 1634
Metropolitana;Buenos Aires;Ituzaingo;AV 5 DE MAYO ESQ ALDAMA;991
Norte;Misiones;General Manuel Belgrano;AV 5 DE MAYO ESQ ALDAMA;991
Metropolitana;Buenos Aires;General Paz;AV 5 DE MAYO ESQ MATAMOROS;1070
Norte;Santiago del Estero;Jimenez;AV 5 DE MAYO ESQ MATAMOROS;1070
Centro;San Luis;Gobernador Dupuy;AV 5 DE MAYO;105
Norte;Tucuman;La Cocha;AV 5 DE MAYO;105
Metropolitana;Buenos Aires;Monte;AV 5 DE MAYO;1108
Norte;Chaco;Tapenaga;AV 5 DE MAYO;1108
Norte;San Juan;9 de julio;AV 5 DE MAYO;1108
Metropolitana;Buenos Aires;Adolfo Gonzales Chaves;AV 5 DE MAYO;1226
Metropolitana;Buenos Aires;Necochea;AV 5 DE MAYO;1226
Metropolitana;Buenos Aires;Tordillo;AV 5 DE MAYO;1226
Norte;Jujuy;San Pedro;AV 5 DE MAYO;1230-B
Norte;Santiago del Estero;Loreto;AV 5 DE MAYO;1230-B
Sur;Neuquen;Confluencia;AV 5 DE MAYO;1230-B
Centro;Cordoba;Marcos Juarez;AV 5 DE MAYO;1259
Norte;San Juan;Sarmiento;AV 5 DE MAYO;1259
Sur;Santa Cruz;Deseado;AV 5 DE MAYO;1259
Norte;Corrientes;Saladas;AV 5 DE MAYO;1350
Norte;Tucuman;Capital;AV 5 DE MAYO;1350
Metropolitana;Buenos Aires;Florentino Ameghino;AV 5 DE MAYO;1400
Metropolitana;Buenos Aires;Florentino Ameghino;AV 5 DE MAYO;1400
Centro;Santa Fe;Caseros;AV 5 DE MAYO;1401
Metropolitana;Buenos Aires;Salto;AV 5 DE MAYO;1401
Metropolitana;Buenos Aires;Roque Perez;AV 5 DE MAYO;1637
Norte;Misiones;Capital;AV 5 DE MAYO;1637
Norte;Chaco;9 de julio;AV 5 DE MAYO;1652
Norte;Chaco;Tapenaga;AV 5 DE MAYO;1652
Norte;Salta;Molinos;AV 5 DE MAYO;1652
Metropolitana;Buenos Aires;Chacabuco;AV 5 DE MAYO;1683
Metropolitana;Buenos Aires;San Cayetano;AV 5 DE MAYO;1683
Sur;Santa Cruz;Lago Argentino;AV 5 DE MAYO;1683
Norte;Misiones;Iguazu;AV 5 DE MAYO;1690
Norte;Salta;General Jose de San Martin;AV 5 DE MAYO;1690
Norte;Tucuman;Famailla;AV 5 DE MAYO;1763
Centro;Santa Fe;San Justo;AV 5 DE MAYO;1906
Metropolitana;Buenos Aires;Leandro N. Alem;AV 5 DE MAYO;1906
Sur;Neuquen;Chos Malal;AV 5 DE MAYO;1906
Metropolitana;Buenos Aires;Quilmes;AV 5 DE MAYO;1953
Norte;Chaco;Bermejo;AV 5 DE MAYO;1953
Metropolitana;Buenos Aires;General Pinto;AV 5 DE MAYO;2061
Norte;Tucuman;Juan Bautista Alberdi;AV 5 DE MAYO;2061
Centro;La Pampa;Limay Mahuida;AV 5 DE MAYO;357
Centro;La Pampa;Limay Mahuida;AV 5 DE MAYO;357
Metropolitana;Buenos Aires;Colon;AV 5 DE MAYO;357
Metropolitana;Buenos Aires;Colon;AV 5 DE MAYO;357
Metropolitana;Buenos Aires;San Miguel;AV 5 DE MAYO;357
Norte;Santiago del Estero;San Martin;AV 5 DE MAYO;357
Centro;La Pampa;Quemu Quemu;AV 5 DE MAYO;551
Metropolitana;Buenos Aires;Berazategui;AV 5 DE MAYO;551
Metropolitana;Buenos Aires;Balcarce;AV 5 DE MAYO;583
Metropolitana;Buenos Aires;Pinamar;AV 5 DE MAYO;583
Norte;La Rioja;Vinchina;AV 5 DE MAYO;583
Norte;La Rioja;General Ocampo;AV 5 DE MAYO;631
Norte;San Juan;Jachal;AV 5 DE MAYO;631
Centro;La Pampa;Chical Co;AV 5 DE MAYO;660
Centro;Santa Fe;Las Colonias;AV 5 DE MAYO;660
Metropolitana;Buenos Aires;San Isidro;AV 5 DE MAYO;660
Centro;Entre Rios;Islas del Ibicuy;AV 5 DE MAYO;954
Metropolitana;Buenos Aires;General Lavalle;AV 5 DE MAYO;954
Metropolitana;Buenos Aires;Tres de Febrero;AV 5;1186 A
Norte;Chaco;Almirante Brown;AV 5;1186 A
Norte;Santiago del Estero;Ojo de Agua;AV 5;1186 A
Centro;Cordoba;San Javier;AV ALFONSO CASO;15
Centro;La Pampa;Chical Co;AV ALFONSO CASO;15
Centro;Santa Fe;Las Colonias;AV ALFONSO CASO;15
Centro;La Pampa;Guatrache;AV FERROCARRIL;5798
Norte;Catamarca;Capital;AV FERROCARRIL;5798
Norte;Corrientes;General Alvear;AV FERROCARRIL;5798
Norte;Salta;Rosario de la Frontera;AV FERROCARRIL;5798
Centro;San Luis;Gobernador Dupuy;AV INDENDENCIA;1381
Norte;Tucuman;La Cocha;AV INDENDENCIA;1381
Centro;La Pampa;Realico;AV INDEPENDENCIA;1021
Metropolitana;Buenos Aires;Brandsen;AV INDEPENDENCIA;1021
Centro;San Luis;Chacabuco;AV INDEPENDENCIA;1023
Norte;Salta;San Carlos;AV INDEPENDENCIA;1023
Sur;Chubut;Futaleufu;AV INDEPENDENCIA;1125
Metropolitana;Buenos Aires;Escobar;AV INDEPENDENCIA;117
Norte;Santiago del Estero;Figueroa;AV INDEPENDENCIA;1247
Norte;Jujuy;Tilcara;AV INDEPENDENCIA;145
Norte;Santiago del Estero;Moreno;AV INDEPENDENCIA;145
Sur;Rio Negro;Adolfo Alsina;AV INDEPENDENCIA;145
Metropolitana;Buenos Aires;Ensenada;AV INDEPENDENCIA;1683
Norte;Jujuy;Susques;AV INDEPENDENCIA;1683
Sur;Chubut;Gaiman;AV INDEPENDENCIA;171
Centro;Mendoza;General Alvear;AV INDEPENDENCIA;1950
Centro;Entre Rios;La Paz;AV INDEPENDENCIA;49
Norte;Salta;Guachipas;AV INDEPENDENCIA;49
Metropolitana;CABA;Ciudad de Buenos Aires;AV INDEPENDENCIA;511 A
Norte;Corrientes;San Luis del Palmar;AV INDEPENDENCIA;511 A
Norte;Jujuy;Ledesma;AV INDEPENDENCIA;511 A
Norte;Chaco;Fray Justo Santa Maria de Oro;AV INDEPENDENCIA;531
Metropolitana;Buenos Aires;Rojas;AV INDEPENDENCIA;1004
Norte;La Rioja;Capital;AV INDEPENDENCIA;1004
Metropolitana;Buenos Aires;Campana;AV INDEPENDENCIA;117
Sur;Chubut;Rio Senguer;AV INDEPENDENCIA;117
Centro;La Pampa;Capital;AV INDEPENDENCIA;147
Norte;Santiago del Estero;Rivadavia;AV INDEPENDENCIA;147
Centro;Santa Fe;Garay;AV INDEPENDENCIA;166
Norte;Chaco;Independencia;AV INDEPENDENCIA;309
Norte;La Rioja;General Juan F. Quiroga;AV INDEPENDENCIA;309
Centro;La Pampa;Conhelo;AV INDEPENDENCIA;528
Norte;Misiones;San Pedro;AV INDEPENDENCIA;528
Norte;Salta;Los Andes;AV INDEPENDENCIA;528
Metropolitana;Buenos Aires;Chacabuco;AV INDEPENDENCIA;587
Norte;Corrientes;San Cosme;AV INDEPENDENCIA;587
Sur;Santa Cruz;Lago Argentino;AV INDEPENDENCIA;587
Centro;Santa Fe;San Cristobal;AV INDEPENDENCIA;677
Norte;Chaco;Chacabuco;AV INDEPENDENCIA;677
Sur;Santa Cruz;Lago Buenos Aires;AV INDEPENDENCIA;677
Centro;Santa Fe;Garay;AV INDEPENDENCIA;725
Centro;Cordoba;Rio Primero;AV INDEPENDENCIA;745-BIS
Centro;La Pampa;Caleu Caleu;AV INDEPENDENCIA;745-BIS
Metropolitana;Buenos Aires;General Paz;AV INDEPENDENCIA;787
Norte;Santiago del Estero;Jimenez;AV INDEPENDENCIA;787
Centro;Santa Fe;Iriondo;AV INDEPENDENCIA;864
Metropolitana;Buenos Aires;General La Madrid;AV INDEPENDENCIA;864
Sur;Neuquen;Catan Lil;AV INDEPENDENCIA;900
Sur;Rio Negro;San Antonio;AV INDEPENDENCIA;900
Metropolitana;CABA;Ciudad de Buenos Aires;AV INDEPENDENCIA;908
Norte;Chaco;San Lorenzo;AV INDEPENDENCIA;908
Norte;Jujuy;Ledesma;AV INDEPENDENCIA;908
Metropolitana;Buenos Aires;General Arenales;AV INDEPENDENCIA;932
Sur;Santa Cruz;Güer Aike;AV INDEPENDENCIA;932
Norte;Misiones;Iguazu;AV INDEPENDENCIA 1019
Norte;Salta;General Jose de San Martin;AV INDEPENDENCIA 1019
Centro;La Pampa;Curaco;AV INDEPENDENCIA 666
Centro;Mendoza;Malargüe;AV INDEPENDENCIA 666
Norte;Catamarca;Santa Rosa;AV INDEPENDENCIA 666
Norte;Catamarca;Ancasti;AV INDEPENDENCIA 918
Norte;Catamarca;Paclin;AV INDEPENDENCIA 918
Norte;Jujuy;Tumbaya;AV INDEPENDENCIA 918
Centro;Entre Rios;Gualeguaychu;AV INDEPENDENCIA N 1282-A
Metropolitana;Buenos Aires;La Plata;AV INDEPENDENCIA N 1282-A
Centro;Cordoba;San Alberto;AV INDEPENDENCIA N01166
Centro;Santa Fe;Caseros;AV INDEPENDENCIA N01166
Norte;Corrientes;Mburucuya;AV INDEPENDENCIA N0405
Norte;Jujuy;El Carmen;AV INDEPENDENCIA N0405
Norte;Tucuman;Simoca;AV INDEPENDENCIA N0405
Metropolitana;Buenos Aires;Baradero;AV INDEPENDENCIA N0562
Norte;Formosa;Pirane;AV INDEPENDENCIA N0562
Norte;Tucuman;Yerba Buena;AV INDEPENDENCIA N0562
Metropolitana;Buenos Aires;Tres Lomas;AV INDEPENDENCIA N0670
Norte;Salta;Oran;AV INDEPENDENCIA N0670
Sur;Neuquen;Alumine;AV INDEPENDENCIA N0670
Norte;Santiago del Estero;Alberdi;AV INDEPENDENCIA N0677
Norte;Tucuman;Trancas;AV INDEPENDENCIA N0677
Sur;Rio Negro;norquinco;AV INDEPENDENCIA N0677
Centro;Entre Rios;Federacion;AV INDEPENDENCIA N0691
Norte;La Rioja;Castro Barros;AV INDEPENDENCIA N0900
Sur;Rio Negro;San Antonio;AV INDEPENDENCIA N0900
Metropolitana;Buenos Aires;Necochea;AV INDEPENDENCIA;5798
Metropolitana;Buenos Aires;Tornquist;AV INDEPENDENCIA;5799
Norte;Santiago del Estero;Aguirre;AV INDEPENDENCIA;5755
Norte;Chaco;San Lorenzo;AV INDEPENDENCIA;5798
Norte;Misiones;Leandro N. Alem;AV INDEPENDENCIA;5798
Norte;Santiago del Estero;Choya;AV INDEPENDENCIA;5798
Centro;Entre Rios;Feliciano;AV INDEPENDENCIA;1001
Centro;Mendoza;Lujan de Cuyo;AV INDEPENDENCIA;1029
Metropolitana;Buenos Aires;Mar Chiquita;AV INDEPENDENCIA;1029
Norte;La Rioja;Coronel Felipe Varela;AV INDEPENDENCIA;1029
Norte;La Rioja;Sanagasta;AV INDEPENDENCIA;1029
Norte;Salta;Santa Victoria;AV INDEPENDENCIA;1029
Sur;Chubut;Cushamen;AV INDEPENDENCIA;1029
Centro;Entre Rios;Victoria;AV INDEPENDENCIA;1054
Sur;Neuquen;Picunches;AV INDEPENDENCIA;1054
Sur;Rio Negro;Avellaneda;AV INDEPENDENCIA;1054
Norte;Jujuy;San Antonio;AV INDEPENDENCIA;1162
Norte;La Rioja;Castro Barros;AV INDEPENDENCIA;1162
Metropolitana;Buenos Aires;Balcarce;AV INDEPENDENCIA;1231 A
Metropolitana;Buenos Aires;Villarino;AV INDEPENDENCIA;1231 A
Norte;Formosa;Pilcomayo;AV INDEPENDENCIA;1231 A
Centro;Santa Fe;9 de julio;AV INDEPENDENCIA;1282-A
Metropolitana;Buenos Aires;Tandil;AV INDEPENDENCIA;1282-A
Norte;Santiago del Estero;Mitre;AV INDEPENDENCIA;1282-A
Norte;La Rioja;General Lamadrid;AV INDEPENDENCIA;1370-B
Norte;Salta;Iruya;AV INDEPENDENCIA;1370-B
Metropolitana;Buenos Aires;Berazategui;AV INDEPENDENCIA;1457
Norte;Santiago del Estero;Quebrachos;AV INDEPENDENCIA;1457
Norte;Catamarca;Belen;AV INDEPENDENCIA;1639
Norte;Chaco;Presidencia de la Plaza;AV INDEPENDENCIA;1639
Metropolitana;Buenos Aires;Castelli;AV INDEPENDENCIA;1811
Metropolitana;Buenos Aires;San Andres de Giles;AV INDEPENDENCIA;1811
Centro;La Pampa;Curaco;AV INDEPENDENCIA;21
Centro;Mendoza;Malargüe;AV INDEPENDENCIA;21
Centro;Mendoza;Santa Rosa;AV INDEPENDENCIA;21
Metropolitana;Buenos Aires;Pehuajo;AV INDEPENDENCIA;240
Norte;La Rioja;Arauco;AV INDEPENDENCIA;240
